seed;protector_type;protector_dose;is_bathed;is_freezed;energy;germination
змееголовник;глицерин;50;0;1;30;70
змееголовник;глицерин;50;0;1;60;80
змееголовник;глицерин;50;0;1;40;60
змееголовник;глицерин;25;0;1;40;70
змееголовник;глицерин;25;0;1;40;70
змееголовник;глицерин;25;0;1;50;75
змееголовник;глицерин;12;0;1;60;50
змееголовник;глицерин;12;0;1;60;80
змееголовник;глицерин;12;0;1;40;90
змееголовник;глицерин;50;1;1;90;90
змееголовник;глицерин;50;1;1;60;90
змееголовник;глицерин;50;1;1;80;100
змееголовник;глицерин;25;1;1;60;70
змееголовник;глицерин;25;1;1;60;100
змееголовник;глицерин;25;1;1;30;80
змееголовник;глицерин;25;1;1;60;80
змееголовник;глицерин;25;1;1;70;90
змееголовник;глицерин;25;1;1;60;80
змееголовник;глицерин;12;1;1;50;70
змееголовник;глицерин;12;1;1;60;70
змееголовник;глицерин;12;1;1;70;70
змееголовник;ДМСО;15;0;1;90;90
змееголовник;ДМСО;15;0;1;70;70
змееголовник;ДМСО;15;0;1;50;50
змееголовник;ДМСО;10;0;1;90;90
змееголовник;ДМСО;10;0;1;60;60
змееголовник;ДМСО;10;0;1;30;70
змееголовник;ДМСО;5;0;1;80;80
змееголовник;ДМСО;5;0;1;50;80
змееголовник;ДМСО;5;0;1;50;80
змееголовник;ДМСО;15;1;1;60;80
змееголовник;ДМСО;15;1;1;50;70
змееголовник;ДМСО;15;1;1;50;70
змееголовник;ДМСО;10;1;1;80;80
змееголовник;ДМСО;10;1;1;30;50
змееголовник;ДМСО;10;1;1;60;70
змееголовник;ДМСО;5;1;1;70;80
змееголовник;ДМСО;5;1;1;50;60
змееголовник;ДМСО;5;1;1;60;80
змееголовник;ПВП;1;0;1;70;80
змееголовник;ПВП;1;0;1;70;80
змееголовник;ПВП;1;0;1;63;82
змееголовник;ПВП;3;0;1;33;66
змееголовник;ПВП;3;0;1;45;68
змееголовник;ПВП;3;0;1;29;62
змееголовник;ПВП;5;0;1;40;60
змееголовник;ПВП;5;0;1;48;81
змееголовник;ПВП;5;0;1;54;77
змееголовник;ПВП;1;1;1;47;88
змееголовник;ПВП;1;1;1;48;78
змееголовник;ПВП;1;1;1;47;88
змееголовник;ПВП;3;1;1;42;75
змееголовник;ПВП;3;1;1;50;80
змееголовник;ПВП;3;1;1;50;70
змееголовник;ПВП;5;1;1;35;71
змееголовник;ПВП;5;1;1;44;78
змееголовник;ПВП;5;1;1;37;63
змееголовник;контроль;0;0;0;38;81
змееголовник;контроль;0;0;0;44;77
змееголовник;контроль;0;0;0;45;95
змееголовник;контроль;0;0;1;9;55
змееголовник;контроль;0;0;1;18;82
змееголовник;контроль;0;0;1;9;64
шалфей;глицерин;50;0;1;20;50
шалфей;глицерин;50;0;1;20;60
шалфей;глицерин;50;0;1;10;30
шалфей;глицерин;25;0;1;30;30
шалфей;глицерин;25;0;1;0;10
шалфей;глицерин;25;0;1;0;10
шалфей;глицерин;25;0;1;15;38
шалфей;глицерин;25;0;1;14;36
шалфей;глицерин;25;0;1;0;29
шалфей;глицерин;12;0;1;10;70
шалфей;глицерин;12;0;1;10;70
шалфей;глицерин;12;0;1;10;70
шалфей;глицерин;12;0;1;10;70
шалфей;глицерин;12;0;1;20;70
шалфей;глицерин;12;0;1;20;90
шалфей;глицерин;50;1;1;0;70
шалфей;глицерин;50;1;1;0;40
шалфей;глицерин;50;1;1;0;20
шалфей;глицерин;25;1;1;32;72
шалфей;глицерин;25;1;1;30;60
шалфей;глицерин;25;1;1;31;65
шалфей;глицерин;12;1;1;20;50
шалфей;глицерин;12;1;1;10;60
шалфей;глицерин;12;1;1;0;60
шалфей;ДМСО;15;0;1;10;50
шалфей;ДМСО;15;0;1;10;60
шалфей;ДМСО;15;0;1;10;30
шалфей;ДМСО;10;0;1;20;40
шалфей;ДМСО;10;0;1;10;40
шалфей;ДМСО;10;0;1;10;40
шалфей;ДМСО;5;0;1;10;50
шалфей;ДМСО;5;0;1;10;40
шалфей;ДМСО;5;0;1;10;40
шалфей;ДМСО;15;1;1;20;30
шалфей;ДМСО;15;1;1;20;40
шалфей;ДМСО;15;1;1;20;40
шалфей;ДМСО;10;1;1;40;60
шалфей;ДМСО;10;1;1;40;70
шалфей;ДМСО;10;1;1;20;60
шалфей;ДМСО;5;1;1;20;80
шалфей;ДМСО;5;1;1;0;40
шалфей;ДМСО;5;1;1;0;50
шалфей;ПВП;1;0;1;30;40
шалфей;ПВП;1;0;1;18;45
шалфей;ПВП;1;0;1;40;50
шалфей;ПВП;3;0;1;8;33
шалфей;ПВП;3;0;1;10;30
шалфей;ПВП;3;0;1;10;40
шалфей;ПВП;5;0;1;10;30
шалфей;ПВП;5;0;1;20;40
шалфей;ПВП;5;0;1;7;7
шалфей;ПВП;1;1;1;21;57
шалфей;ПВП;1;1;1;25;43
шалфей;ПВП;1;1;1;20;47
шалфей;ПВП;3;1;1;50;83
шалфей;ПВП;3;1;1;30;80
шалфей;ПВП;3;1;1;20;30
шалфей;ПВП;5;1;1;0;40
шалфей;ПВП;5;1;1;0;67
шалфей;ПВП;5;1;1;0;25
шалфей;контроль;0;0;0;20;60
шалфей;контроль;0;0;0;10;90
шалфей;контроль;0;0;0;20;100
шалфей;контроль;0;0;1;10;77
шалфей;контроль;0;0;1;10;69
шалфей;контроль;0;0;1;0;75
